Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17
tel_nev,megy_nev,oevk_nev,oevkcenter,oevk_num,oevk_str,shape_leng,shape_area,,,,,,,,,
Aba,Fejér megye,Fejér megye 5. számú egyéni választókerület,Sárbogárd,"5","5","261753.76","1737547515.9",,,,,,,,,
Abádszalók,Jász-Nagykun-Szolnok megye,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,Karcag,"3","3","269415.19","2046720320.43",,,,,,,,,
Abaliget,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Abasár,Heves megye,Heves megye 2. számú egyéni választókerület,Gyöngyös,"2","2","294095.43","1426893333.66",,,,,,,,,
Abaújalpár,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Abaújkér,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Abaújlak,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Abaújszántó,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Abaújszolnok,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Abaújvár,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,Sátoraljaújhely,"5","5","356364.78","1981433741.63",,,,,,,,,
Abda,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 5. számú egyéni választókerület,Mosonmagyaróvár,"5","5","192506.63","1106619646.19",,,,,,,,,
Abod,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,Kazincbarcika,"4","4","256041.3","1154765077.9",,,,,,,,,
Abony,Pest megye,Pest megye 12. számú egyéni választókerület,Cegléd,"12","12","154034.17","1022178507.64",,,,,,,,,
Ábrahámhegy,Veszprém megye,Veszprém megye 3. számú egyéni választókerület,Tapolca,"3","3","233150.16","1119123839.6",,,,,,,,,
Ács,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Acsa,Pest megye,Pest megye 4. számú egyéni választókerület,Vác,"4","4","203058.39","789686669.4",,,,,,,,,
Acsád,Vas megye,Vas megye 2. számú egyéni választókerület,Sárvár,"2","2","257181.03","1198863917.81",,,,,,,,,
Acsalag,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
Ácsteszér,Komárom-Esztergom megye,Komárom-Esztergom megye 3. számú egyéni választókerület,Komárom,"3","3","253759.54","1335519263.56",,,,,,,,,
Adács,Heves megye,Heves megye 3. számú egyéni választókerület,Hatvan,"3","3","300580.69","1165920670.41",,,,,,,,,
Ádánd,Somogy megye,Somogy megye 4. számú egyéni választókerület,Siófok,"4","4","241496.61","1517737700.32",,,,,,,,,
Adásztevel,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Adony,Fejér megye,Fejér megye 4. számú egyéni választókerület,Dunaújváros,"4","4","151596.27","431334085.99",,,,,,,,,
Adorjánháza,Veszprém megye,Veszprém megye 4. számú egyéni választókerület,Pápa,"4","4","327462.86","1667936709.63",,,,,,,,,
Adorjás,Baranya megye,Baranya megye 4. számú egyéni választókerület,Szigetvár,"4","4","345095.83","2252765413.9",,,,,,,,,
Ág,Baranya megye,Baranya megye 3. számú egyéni választókerület,Mohács,"3","3","373572.03","1725421545.77",,,,,,,,,
Ágasegyháza,Bács-Kiskun megye,Bács-Kiskun megye 4. számú egyéni választókerület,Kiskunfélegyháza,"4","4","324422.08","1876316923.88",,,,,,,,,
Ágfalva,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 4. számú egyéni választókerület,Sopron,"4","4","199494.44","716220845.21",,,,,,,,,
Aggtelek,Borsod-Abaúj-Zemplén megye,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,Ózd,"3","3","257092.76","1189961968.61",,,,,,,,,
Agyagosszergény,Gy?r-Moson-Sopron megye,Győr-Moson-Sopron megye 3. számú egyéni választókerület,Csorna,"3","3","278671.79","1458283441.58",,,,,,,,,
