NAME,megy_nev,oevk_name,oevkcenter,oevk_num,oevk_str,shape_leng,shape_area
Cserkút,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Kővágószőlős,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Orfű,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Mánfa,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Komló,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Szemely,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Lothárd,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Kozármisleny,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Magyarsarlós,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Hásságy,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Nagykozár,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Bogád,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Romonya,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Ellend,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Berkesd,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Pereked,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Szilágy,Baranya,Baranya megye 2. számú egyéni választókerület,Pécs,"2","2","160289.34","344699531.57"
Mezőkövesd,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Egerlövő,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Borsodivánka,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Négyes,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Szentistván,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Mezőnagymihály,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tiszavalk,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tiszabábolna,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tiszadorogma,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Ároktő,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tiszakeszi,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Szomolya,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Bogács,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Cserépfalu,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Cserépváralja,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Bükkzsérc,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tard,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Mezőkeresztes,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Mezőnyárád,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Bükkábrány,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tibolddaróc,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Kács,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Vatta,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Sály,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Borsodgeszt,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Harsány,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Répáshuta,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Bükkszentkereszt,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Kisgyőr,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Gelej,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Csincse,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Mezőcsát,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Igrici,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőpapi,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Emőd,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Bükkaranyos,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőszalonta,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Szakáld,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőkeresztúr,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Tiszatarján,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőkürt,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Nemesbikk,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Hejőbába,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
Nagycsécs,Borsod-Abaúj-Zemplén,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,Mez_kövesd,"7","7","232800.3","1529604398.87"
