tel_nev;megy_nev;oevk_nev;oevkcenter;oevk_num;oevk_str;shape_leng;shape_area
Felsőlajos;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Fülöpháza;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kerekegyháza;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunadacs;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunbaracs;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunpeszér;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Kunszentmiklós;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Ladánybene;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Lajosmizse;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Szabadszállás;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Szalkszentmárton;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Tass;Bács-Kiskun megye;Bács-Kiskun megye 1. számú egyéni választókerület;Kecskemét;1;1;213238.51;1156455001.1
Ballószög;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Helvécia;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Kecskemét;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Szentkirály;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Tiszakécske;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Városföld;Bács-Kiskun megye;Bács-Kiskun megye 2. számú egyéni választókerület;Kecskemét;2;2;183749.25;615605074.37
Akasztó;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Apostag;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Bátya;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Csengőd;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Drágszél;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunaegyháza;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunapataj;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunaszentbenedek;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunatetétlen;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Dunavecse;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
Foktő;Bács-Kiskun megye;Bács-Kiskun megye 3. számú egyéni választókerület;Kalocsa;3;3;241811.87;1478945666.42
